mag,spt,ag,pfine,d50,uwgwt,wt,wd,vts,outcome,,,,
6.93,5.1,0.14,30,0.09,100,0.3,11.5,1572.752625,1,,,,
6.93,25.8,0.25,5,0.55,120,1.6,6.4,2038.959974,0,,,,
6.93,22.9,0.24,1,0.6,110,0.3,6.6,926.8372703,0,,,,
6.93,17.8,0.27,1,0.6,110,0.3,5.9,1592.847769,1,,,,
6.93,20.1,0.41,20,0.13,110,0.4,9.8,3338.254593,0,,,,
7.7,25.8,0.25,19,0.2,110,0.3,7.5,1916.830709,0,,,,
7.6,29.8,0.4,0,0.34,120,0.3,5.2,4382.38189,0,,,,
6.9,30.6,0.4,2,0.19,110,0.3,11.5,3088.090551,0,,,,
6.9,21.5,0.4,18,0.13,110,0.3,11.5,1960.301837,0,,,,
6.9,53.2,0.4,3.5,,120,0.3,7.7,2541.830709,0,,,,
6.9,26.2,0.6,8.75,,120,0.3,14.6,3002.624672,0,,,,
6.9,26.2,0.5,14,,100,0.3,10.5,1911.089239,0,,,,
6.9,21,0.5,18.5,,115,0.3,10.2,1866.7979,0,,,,
6.9,24.6,0.6,5,,110,0.3,8.0,1724.901575,0,,,,
6.9,36.7,0.7,0,,125,0.3,25.1,4399.606299,0,,,,
6.9,20.8,0.6,10,,120,0.3,20.0,2975.721785,0,,,,
6.9,39.6,0.4,14.83,,120,0.3,9.5,3622.53937,0,,,,
6.9,65.5,0.55,0,,110,0.3,6.6,2493.43832,0,,,,
6.9,36.8,0.6,0,,100,0.3,5.4,1300.032808,0,,,,
6.9,38.9,0.6,6,,120,0.3,7.9,2421.259843,0,,,,
6.9,23.3,0.6,10,,120,0.3,9.8,2001.312336,0,,,,
6.9,39,0.7,2.5,,110,0.3,7.1,1329.560367,0,,,,
6.9,41.2,0.6,0,,100,0.3,3.0,1361.548556,0,,,,
6.9,50.4,0.6,10,,100,0.3,3.4,939.1404199,0,,,,
6.9,52.8,0.4,3.25,,100,0.3,8.2,2148.950131,0,,,,
6.9,39,0.6,10,,100,0.3,4.9,3362.860892,0,,,,
6.9,57,0.6,0,,100,0.3,3.9,1541.994751,0,,,,
6.9,30.5,0.5,6.25,,100,0.3,4.6,1320.538058,0,,,,
6.9,27.8,0.5,50,,100,0.3,6.6,3116.7979,0,,,,
6.9,33.7,0.6,2.5,,100,0.3,3.1,1358.267717,0,,,,
6.9,61.9,0.6,0,,120,0.3,8.5,1865.15748,0,,,,
6.9,40.4,0.4,1.33,,110,0.3,6.7,1642.060367,0,,,,
6.9,42.8,0.6,0,,120,0.3,9.2,1389.435696,0,,,,
6.9,21.9,0.4,24.67,,120,0.3,7.5,2340.879265,0,,,,
6.9,22.6,0.4,20,0.4,110,0.3,16.4,3239.829396,0,,,,
6.9,19.1,0.4,20,0.4,110,0.3,16.4,3854.986877,0,,,,
6.9,32.8,0.4,20,0.4,110,0.3,16.4,3723.753281,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
